username,name,sex,address,mail,birthdate,job,phone,userid,survey_answers,salary
joshuavargas,Mr. Anthony Wheeler,M,BB95QF,lori20@hotmail.com,2018-06-11,Dentist,001-041-687-6522x688,b16d9a93-f038-4acf-b43f-df49c6bc1584,[2 3 3 4 2 2 3 1 1 3 1 3 2 4 2 3 1 4 2 1],120000.0
hayesaustin,Shawn Mcclain,M,PE285WA,greenlauren@yahoo.com,1991-12-23,IT trainer,(720)492-5711x199,5aa90f84-fee7-4f7b-82dc-73a431a656fd,[2 1 5 5 3 5 3 1 5 4 1 5 5 5 4 2 5 3 4 4],140000.0
bolson,John Dickerson,M,LS146QA,gonzalezjoanna@gmail.com,1983-08-04,"Designer, ceramics/pottery",5652192709,7f0f9014-cb57-47c4-a419-d24f02a392e1,[5 5 4 5 3 5 3 2 3 5 5 1 4 2 3 2 1 1 4 2],21004.060405585995
vdominguez,Joshua Harmon,M,CV32SD,gjames@hotmail.com,1988-10-10,Video editor,001-782-445-5284x368,33ba4442-835e-4983-bab5-9877d282a9c5,[5 3 1 4 5 4 4 5 1 4 4 1 2 4 2 3 1 1 3 1],22977.50691772974
richard48,Alicia Jones,F,ST72YB,sarah34@gmail.com,1993-11-04,Agricultural engineer,+1-791-226-4149x507,ec173538-c898-4d17-a48e-15e9e3f855e7,[1 5 5 5 4 3 3 5 3 4 1 5 3 2 4 5 2 1 5 3],21164.792206572074
michaelscott,Jackie Powers,F,L145NN,vangtodd@yahoo.com,1955-02-18,Publishing copy,051-158-6989,93ea1fb2-9185-4deb-bb54-783f76cc1e7d,[3 4 4 4 4 4 4 2 5 3 1 1 4 3 3 2 3 1 3 3],21209.384376690145
misty87,Michael Porter,M,KY49AL,pricejames@yahoo.com,1957-09-09,"Copywriter, advertising",(349)698-7364x5440,ed4d6384-ee05-4d18-88d9-17b73a37bab1,[4 2 4 4 3 3 4 5 4 5 1 1 5 2 3 5 4 2 4 3],20296.877977849297
jamesbrian,Tyrone Bowers,M,IP146YA,dcortez@yahoo.com,1953-03-04,Hydrographic surveyor,853-034-5497,d5656d53-1d1a-43d1-b9d4-7b0ab69382de,[3 1 5 4 4 4 5 4 5 2 2 4 5 1 2 5 4 5 4 4],21988.670602609083
jenniferthomas,Deborah Zimmerman,F,TN132RT,mthompson@gmail.com,1936-11-16,Multimedia specialist,+1-636-064-2136x5685,234cdfc3-292d-46a6-9ebc-a5bac2f958ef,[4 5 2 4 3 2 1 1 2 1 3 2 2 2 1 1 3 5 3 2],21054.956251130494
mroberts,Nicole Murray,F,LE143SQ,lynchmichelle@hotmail.com,2007-03-20,Physiological scientist,(378)313-1113x4734,e4d44604-de8c-4238-b2f4-b87e71ab35da,[1 4 1 5 4 3 4 3 5 5 5 3 4 2 4 1 4 1 5 1],23193.160724109446
jenningswilliam,Karen Collins,F,YO22YT,wcarr@hotmail.com,1961-06-06,Newspaper journalist,(817)889-3508x830,c8fc7d53-061f-412b-89f4-5e5f7629d41a,[1 3 5 1 5 2 1 5 5 3 4 4 2 1 2 3 4 5 4 5],21121.0328855495
antonio29,Jesse Casey,M,RG35PT,lisa64@hotmail.com,1936-10-05,Optometrist,+1-852-051-6014x4580,bddb7154-0d44-4631-9166-d3cd20f57822,[5 2 3 5 4 5 1 1 3 4 3 3 5 5 5 1 5 1 2 3],22605.58878139846
wjohnson,Nicholas Adams,M,N211LZ,wrightmegan@hotmail.com,1961-09-21,"Teacher, secondary school",(248)654-0476,c90e5be0-9073-45e7-92c4-91f71c8cfee8,[2 3 5 1 1 2 5 5 3 5 5 2 2 5 1 4 4 2 4 5],19085.578851374947
jennifer68,Melissa Rhodes,F,OX54UJ,riosdonald@gmail.com,1910-05-10,Advertising account executive,(308)652-0213x603,a7c9a5d2-57bd-4086-976a-99d9c4ec42ab,[4 4 2 2 5 3 4 4 2 3 1 4 1 4 4 3 3 3 2 4],22571.13296388536
